# k, Q1, Q2, Q3, Q5, Q8, Qs2
2.334447395889161750e-04 1.281194990458709195e-05 -3.087743971868569228e-06 4.870523128182980542e-06 4.862113809666127898e-06 4.847673279972652960e-02 9.691502974973931206e-02
2.356058627149012856e-04 1.328858156864671577e-05 -3.201588232683340928e-06 5.052337269939624960e-06 5.043507847416789610e-06 4.937836101412219209e-02 9.871685628353844832e-02
2.377869925164445499e-04 1.378290554930004311e-05 -3.319611562555403487e-06 5.240916448940260392e-06 5.231658791301317934e-06 5.029675734799677472e-02 1.005521659793456452e-01
2.399883142060689120e-04 1.429557674683463334e-05 -3.441965282456070796e-06 5.436527448670031011e-06 5.426817847616465831e-06 5.123223359428560192e-02 1.024215804583307049e-01
2.422100147109087880e-04 1.482727423595208127e-05 -3.568808681204768599e-06 5.639437956592578105e-06 5.629245551428895973e-06 5.218510734155536873e-02 1.043257328604028644e-01
2.444522826885841670e-04 1.537870214742042744e-05 -3.700304303491907614e-06 5.849891335602126188e-06 5.839212083563802738e-06 5.315570208160939197e-02 1.062652680567765240e-01
2.467153085432189676e-04 1.595059054479078383e-05 -3.836622795755783392e-06 6.068217181763216651e-06 6.056997652038582503e-06 5.414434731913864152e-02 1.082408428666429001e-01
2.489992844416101503e-04 1.654369645361817930e-05 -3.977939375357154685e-06 6.294643142990650618e-06 6.282892854375617750e-06 5.515137868339614613e-02 1.102531262774314458e-01
2.513044043295466147e-04 1.715880475461374147e-05 -4.124436326615295439e-06 6.529545244636030396e-06 6.517199050624040288e-06 5.617713804199669925e-02 1.123027996697295861e-01
2.536308639482763323e-04 1.779672933565663393e-05 -4.276302860287207520e-06 6.773163433471844390e-06 6.760228795696424178e-06 5.722197361678694333e-02 1.143905570455669429e-01
2.559788608511300392e-04 1.845831399810418517e-05 -4.433733579974712520e-06 7.025888239096482288e-06 7.012306200332348851e-06 5.828624010176861048e-02 1.165171052615428804e-01
2.583485944202947113e-04 1.914443368959235444e-05 -4.596932604012919886e-06 7.288010447824966711e-06 7.273767402885295803e-06 5.937029878337103661e-02 1.186831642656732827e-01
2.607402658837451701e-04 1.985599556361799040e-05 -4.766108138409599374e-06 7.559901026724381248e-06 7.544960983680316744e-06 6.047451766287762626e-02 1.208894673390644159e-01
2.631540783323324095e-04 2.059394020381368327e-05 -4.941479661784378611e-06 7.841933418013638217e-06 7.826248458060668678e-06 6.159927158117126794e-02 1.231367613417310991e-01
2.655902367370273440e-04 2.135924285192283319e-05 -5.123270810543443981e-06 8.134441201677619849e-06 8.118004732736940521e-06 6.274494234568998852e-02 1.254258069628242100e-01
2.680489479663271325e-04 2.215291461568283930e-05 -5.311716582015551223e-06 8.437888383052887922e-06 8.420618588354617529e-06 6.391191885978705911e-02 1.277573789757270872e-01
2.705304208038225057e-04 2.297600388777432717e-05 -5.507058114738224434e-06 8.752582942165994760e-06 8.734493208354295995e-06 6.510059725451475265e-02 1.301322664973661725e-01
2.730348659659247428e-04 2.382959758382701830e-05 -5.709546244489613595e-06 9.079055512296854141e-06 9.060046704587256078e-06 6.631138102282831126e-02 1.325512732529051663e-01
2.755624961197601576e-04 2.471482271285846906e-05 -5.919441436121607236e-06 9.417630887750506945e-06 9.397712682986761074e-06 6.754468115635188508e-02 1.350152178445651885e-01
2.781135259012293827e-04 2.563284767131358542e-05 -6.137011304406061870e-06 9.768857845130085677e-06 9.747940800573313475e-06 6.880091628456382058e-02 1.375249340261137099e-01
2.806881719332319407e-04 2.658488390607918070e-05 -6.362536884072021552e-06 1.013313581421060555e-05 1.011119737138895388e-05 7.008051281657444453e-02 1.400812709814306389e-01
2.832866528440615233e-04 2.757218737552485856e-05 -6.596304361076724982e-06 1.051098050745232274e-05 1.048796593563072105e-05 7.138390508554330605e-02 1.426850936089600064e-01
2.859091892859721941e-04 2.859606026594987955e-05 -6.838615844802855447e-06 1.090291318988440290e-05 1.087874794599023942e-05 7.271153549589469411e-02 1.453372828109915638e-01
2.885560039539132940e-04 2.965785266400989130e-05 -7.089778705552082114e-06 1.130939006572061873e-05 1.128406341307983480e-05 7.406385467312522064e-02 1.480387357882584076e-01
2.912273216044406919e-04 3.075896421635061529e-05 -7.350116254718422038e-06 1.173106501089734938e-05 1.170445158689745242e-05 7.544132161639137413e-02 1.507903663401336802e-01
2.939233690748031336e-04 3.190084613415724262e-05 -7.619959985713791171e-06 1.216835328887367488e-05 1.214047168775292542e-05 7.684440385403190632e-02 1.535931051696613203e-01
2.966443753022022806e-04 3.308500285043900022e-05 -7.899654740367269756e-06 1.262200429620870208e-05 1.259270359866854391e-05 7.827357760184562585e-02 1.564479001951399328e-01
2.993905713432352738e-04 3.431299419901099934e-05 -8.189558696553663511e-06 1.309245641113204055e-05 1.306174865535596117e-05 7.972932792430094395e-02 1.593557168660048595e-01
3.021621903935132634e-04 3.558643716975777935e-05 -8.490039462697786829e-06 1.358048108718866678e-05 1.354823042152180138e-05 8.121214889881177290e-02 1.623175384861142712e-01
3.049594678074641989e-04 3.690700828625718949e-05 -8.801483590135098694e-06 1.408662648152734892e-05 1.405279555697031936e-05 8.272254378318670553e-02 1.653343665415146491e-01
3.077826411183190664e-04 3.827644562324428938e-05 -9.124283966740818935e-06 1.461160919411292145e-05 1.457611461826536310e-05 8.426102518594875967e-02 1.684072210350277821e-01
3.106319500582800544e-04 3.969655097540450916e-05 -9.458856089148484490e-06 1.515615701246394722e-05 1.511888289115376282e-05 8.582811523957456501e-02 1.715371408262229280e-01
3.135076365788802446e-04 4.116919233263820394e-05 -9.805621887906431201e-06 1.572089277393813605e-05 1.568182140828461925e-05 8.742434577744841173e-02 1.747251839778989069e-01
3.164099448715267495e-04 4.269630623324590708e-05 -1.016502572252232965e-05 1.630673864328301210e-05 1.626567782493522601e-05 8.905025851420404759e-02 1.779724281097083693e-01
3.193391213882375962e-04 4.427990046317791320e-05 -1.053752277357745607e-05 1.691425241571434509e-05 1.687122750480346344e-05 9.070640522894542201e-02 1.812799707565013185e-01
3.222954148625700277e-04 4.592205620241922927e-05 -1.092358658272031569e-05 1.754449332167318804e-05 1.749927441479214526e-05 9.239334795172457482e-02 1.846489297348418990e-01
3.252790763307404891e-04 4.762493114863751453e-05 -1.132370917130324629e-05 1.819805102264096072e-05 1.815065216581365280e-05 9.411165915380045877e-02 1.880804435141550102e-01
3.282903591529421033e-04 4.939076189382573894e-05 -1.173839490051233704e-05 1.887601038886960148e-05 1.882622513070526563e-05 9.586192194141834877e-02 1.915756715971552449e-01
3.313295190348602287e-04 5.122186733688532652e-05 -1.216817486852532276e-05 1.957912298213268011e-05 1.952688975285241528e-05 9.764473025355634161e-02 1.951357949051020502e-01
3.343968140493837706e-04 5.312065126882953509e-05 -1.261358782797565132e-05 2.030838397429356290e-05 2.025357549896061095e-05 9.946068906252428232e-02 1.987620161712420619e-01
3.374925046585208646e-04 5.508960556326805561e-05 -1.307520450585314716e-05 2.106481014022198726e-05 2.100724614664110877e-05 1.013104145785366506e-01 2.024555603403835058e-01
3.406168537355170342e-04 5.713131352667884081e-05 -1.355360340329683156e-05 2.184924970619354158e-05 2.178890104832962316e-05 1.031945344585111918e-01 2.062176749764423334e-01
3.437701265871753904e-04 5.924845288027870145e-05 -1.404939457373308945e-05 2.266300451690589197e-05 2.259957646155679844e-05 1.051136880181886973e-01 2.100496306777364930e-01
3.469525909763864066e-04 6.144379960863099099e-05 -1.456320226325769963e-05 2.350682033910867958e-05 2.344034687156475175e-05 1.070685264483191013e-01 2.139527214978123038e-01
3.501645171448662403e-04 6.372023106194082758e-05 -1.509567591924851666e-05 2.438219568298871138e-05 2.431232627985053995e-05 1.090597130350397376e-01 2.179282653768936096e-01
3.534061778361024088e-04 6.608073034771973827e-05 -1.564749066158341301e-05 2.528992067400848148e-05 2.521667001077419802e-05 1.110879233845290109e-01 2.219776045780148810e-01
3.566778483185152203e-04 6.852838951714777609e-05 -1.621933750795251616e-05 2.623152176690346640e-05 2.615457591732458985e-05 1.131538456513747626e-01 2.261021061341980942e-01
3.599798064088333355e-04 7.106641402090859436e-05 -1.681194537564516370e-05 2.720802810904633483e-05 2.712728609782737093e-05 1.152581807711534900e-01 2.303031623002442796e-01
3.633123324956828086e-04 7.369812633584804467e-05 -1.742605192684517054e-05 2.822082106590155195e-05 2.813608827925091679e-05 1.174016426970713040e-01 2.345821910151350831e-01
3.666757095633975763e-04 7.642697055611692334e-05 -1.806244028577946807e-05 2.927132203303164113e-05 2.918231780068002799e-05 1.195849586419909238e-01 2.389406363723135251e-01
3.700702232160503111e-04 7.925651675148848423e-05 -1.872190257619918348e-05 3.036068283012502406e-05 3.026735918133796545e-05 1.218088693240370057e-01 2.433799690978195596e-01
3.734961617017022836e-04 8.219046526624536873e-05 -1.940527522847809152e-05 3.149074325300158986e-05 3.139264794101414977e-05 1.240741292167793219e-01 2.479016870377598880e-01
3.769538159368831295e-04 8.523265217172267233e-05 -2.011341319560008229e-05 3.266249522677420049e-05 3.255967251951736105e-05 1.263815068046999224e-01 2.525073156528847007e-01
3.804434795312912516e-04 8.838705339538569384e-05 -2.084720597529071974e-05 3.387806081987781705e-05 3.376997624977463869e-05 1.287317848431277501e-01 2.571984085260693442e-01
3.839654488127290069e-04 9.165779049007967806e-05 -2.160757878669703478e-05 3.513849378177546557e-05 3.502515939115862160e-05 1.311257606223309169e-01 2.619765478731916342e-01
3.875200228522629182e-04 9.504913506475213853e-05 -2.239547696346436516e-05 3.644594295976510197e-05 3.632688086301621983e-05 1.335642462365444760e-01 2.668433450678945884e-01
3.911075034896208395e-04 9.856551516158000960e-05 -2.321189963403522111e-05 3.780181580622568713e-05 3.767686093153797084e-05 1.360480688594098431e-01 2.718004411733348502e-01
3.947281953588238504e-04 1.022115203078363541e-04 -2.405785548910587264e-05 3.920802881006499178e-05 3.907688329448953587e-05 1.385780710231458990e-01 2.768495074853682958e-01
3.983824059140524468e-04 1.059919075194418333e-04 -2.493441769862146142e-05 4.066656965068687110e-05 4.052879702396437381e-05 1.411551109026975004e-01 2.819922460828366839e-01
4.020704454557552676e-04 1.099116077459191267e-04 -2.584266896734016219e-05 4.217899826681551227e-05 4.203451933628541315e-05 1.437800626060320996e-01 2.872303903888264731e-01
4.057926271569998154e-04 1.139757312032022403e-04 -2.678375470591531018e-05 4.374791742148007246e-05 4.359603805278496345e-05 1.464538164694188793e-01 2.925657057452281662e-01
4.095492670900632739e-04 1.181895750674521024e-04 -2.775884431600477676e-05 4.537463826789588903e-05 4.521541417097219001e-05 1.491772793578291234e-01 2.979999899904559046e-01
4.133406842532736129e-04 1.225586291407020068e-04 -2.876915412909425161e-05 4.706216868749454635e-05 4.689478419242039322e-05 1.519513749714750117e-01 3.035350740555279314e-01
4.171672005980983796e-04 1.270885841965172251e-04 -2.981595029184178712e-05 4.881190656811622844e-05 4.863636372651577766e-05 1.547770441586991397e-01 3.091728225648086581e-01
4.210291410564813387e-04 1.317853377956263361e-04 -3.090052431908523844e-05 5.062687896643088892e-05 5.044244995513570072e-05 1.576552452326301923e-01 3.149151344518735240e-01
4.249268335684354718e-04 1.366550025461939536e-04 -3.202424381507126529e-05 5.250900780897863079e-05 5.231542359493283526e-05 1.605869542930228322e-01 3.207639435784070403e-01
4.288606091098915774e-04 1.417039133856316097e-04 -3.318848534455990588e-05 5.446094981373362197e-05 5.425775318443569044e-05 1.635731655573026688e-01 3.267212193744485349e-01
4.328308017208007917e-04 1.469386363640573100e-04 -3.439471780198639786e-05 5.648548752666557532e-05 5.627199882909605607e-05 1.666148916987449935e-01 3.327889674883977023e-01
4.368377485335011657e-04 1.523659772880572925e-04 -3.564441912252227812e-05 5.858472537592771987e-05 5.836081441401553914e-05 1.697131641862105744e-01 3.389692304405569345e-01
4.408817898013470539e-04 1.579929886143940714e-04 -3.693915501775775153e-05 6.076234957465024493e-05 6.052695080796272070e-05 1.728690336301012820e-01 3.452640882943594502e-01
4.449632689275990908e-04 1.638269800442568487e-04 -3.828052238471228225e-05 6.302008040984920592e-05 6.277326023525145601e-05 1.760835701382198748e-01 3.516756593363070116e-01
