#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.042802e-06 1.075461e+02 1.075465e+02 9.743641e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.572317e-09 5.702984e-08 -1.479174e-07 -6.902540e-13 4.988361e+03 4.711941e+06 9.969701e+05 -2.381283e-03 -4.907268e-02 -2.212664e-01 -1.089753e-01 2.902191e-02 8.447816e-01 4.230896e-03 2.534486e-07 8.659925e-07 -1.501677e-07
1.045928e-06 1.075461e+02 1.075465e+02 9.786854e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.597582e-09 5.726343e-08 -1.483000e-07 -6.945714e-13 4.981725e+03 4.699415e+06 9.943280e+05 -2.384751e-03 -4.915128e-02 -2.216192e-01 -1.091568e-01 2.907031e-02 8.450402e-01 4.230817e-03 2.545243e-07 8.688379e-07 -1.506715e-07
1.049064e-06 1.075461e+02 1.075465e+02 9.830258e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.622960e-09 5.749798e-08 -1.486836e-07 -6.989159e-13 4.975097e+03 4.686923e+06 9.916928e+05 -2.388224e-03 -4.923000e-02 -2.219725e-01 -1.093386e-01 2.911879e-02 8.452989e-01 4.230738e-03 2.556046e-07 8.716926e-07 -1.511769e-07
1.052209e-06 1.075461e+02 1.075465e+02 9.873856e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.648454e-09 5.773349e-08 -1.490681e-07 -7.032875e-13 4.968479e+03 4.674463e+06 9.890647e+05 -2.391702e-03 -4.930886e-02 -2.223265e-01 -1.095208e-01 2.916735e-02 8.455577e-01 4.230659e-03 2.566894e-07 8.745567e-07 -1.516841e-07
1.055364e-06 1.075461e+02 1.075465e+02 9.917646e-10 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.674064e-09 5.796997e-08 -1.494537e-07 -7.076865e-13 4.961869e+03 4.662037e+06 9.864435e+05 -2.395185e-03 -4.938783e-02 -2.226810e-01 -1.097032e-01 2.921599e-02 8.458165e-01 4.230580e-03 2.577789e-07 8.774302e-07 -1.521929e-07
1.058528e-06 1.075461e+02 1.075465e+02 9.961631e-10 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.699789e-09 5.820741e-08 -1.498402e-07 -7.121130e-13 4.955268e+03 4.649644e+06 9.838293e+05 -2.398673e-03 -4.946694e-02 -2.230360e-01 -1.098859e-01 2.926471e-02 8.460754e-01 4.230501e-03 2.588730e-07 8.803131e-07 -1.527035e-07
1.061702e-06 1.075461e+02 1.075465e+02 1.000581e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.725631e-09 5.844582e-08 -1.502277e-07 -7.165671e-13 4.948676e+03 4.637284e+06 9.812220e+05 -2.402166e-03 -4.954617e-02 -2.233916e-01 -1.100689e-01 2.931352e-02 8.463345e-01 4.230422e-03 2.599717e-07 8.832055e-07 -1.532158e-07
1.064885e-06 1.075461e+02 1.075465e+02 1.005019e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.751590e-09 5.868521e-08 -1.506161e-07 -7.210492e-13 4.942093e+03 4.624956e+06 9.786216e+05 -2.405664e-03 -4.962553e-02 -2.237478e-01 -1.102523e-01 2.936240e-02 8.465935e-01 4.230343e-03 2.610751e-07 8.861074e-07 -1.537297e-07
1.068078e-06 1.075461e+02 1.075465e+02 1.009476e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.777667e-09 5.892559e-08 -1.510056e-07 -7.255593e-13 4.935519e+03 4.612662e+06 9.760281e+05 -2.409167e-03 -4.970501e-02 -2.241046e-01 -1.104359e-01 2.941137e-02 8.468527e-01 4.230264e-03 2.621832e-07 8.890189e-07 -1.542454e-07
1.071280e-06 1.075461e+02 1.075465e+02 1.013953e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.803863e-09 5.916694e-08 -1.513960e-07 -7.300975e-13 4.928953e+03 4.600400e+06 9.734415e+05 -2.412676e-03 -4.978462e-02 -2.244619e-01 -1.106198e-01 2.946042e-02 8.471120e-01 4.230185e-03 2.632960e-07 8.919399e-07 -1.547629e-07
1.074492e-06 1.075461e+02 1.075465e+02 1.018450e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.830177e-09 5.940929e-08 -1.517874e-07 -7.346642e-13 4.922396e+03 4.588170e+06 9.708617e+05 -2.416189e-03 -4.986436e-02 -2.248198e-01 -1.108041e-01 2.950955e-02 8.473713e-01 4.230106e-03 2.644135e-07 8.948705e-07 -1.552821e-07
1.077713e-06 1.075461e+02 1.075465e+02 1.022967e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.856610e-09 5.965263e-08 -1.521798e-07 -7.392594e-13 4.915847e+03 4.575974e+06 9.682888e+05 -2.419708e-03 -4.994423e-02 -2.251783e-01 -1.109886e-01 2.955876e-02 8.476307e-01 4.230027e-03 2.655358e-07 8.978108e-07 -1.558030e-07
1.080944e-06 1.075461e+02 1.075465e+02 1.027503e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.883163e-09 5.989696e-08 -1.525732e-07 -7.438834e-13 4.909308e+03 4.563809e+06 9.657226e+05 -2.423231e-03 -5.002422e-02 -2.255373e-01 -1.111735e-01 2.960806e-02 8.478902e-01 4.229948e-03 2.666628e-07 9.007607e-07 -1.563256e-07
1.084185e-06 1.075461e+02 1.075465e+02 1.032060e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.909836e-09 6.014229e-08 -1.529675e-07 -7.485363e-13 4.902777e+03 4.551677e+06 9.631633e+05 -2.426760e-03 -5.010435e-02 -2.258970e-01 -1.113587e-01 2.965744e-02 8.481498e-01 4.229869e-03 2.677946e-07 9.037203e-07 -1.568500e-07
1.087436e-06 1.075461e+02 1.075465e+02 1.036638e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948236e+01 5.936631e-09 6.038863e-08 -1.533629e-07 -7.532183e-13 4.896255e+03 4.539577e+06 9.606108e+05 -2.430294e-03 -5.018460e-02 -2.262571e-01 -1.115442e-01 2.970690e-02 8.484094e-01 4.229790e-03 2.689312e-07 9.066896e-07 -1.573762e-07
1.090696e-06 1.075461e+02 1.075465e+02 1.041235e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948235e+01 5.963547e-09 6.063598e-08 -1.537592e-07 -7.579296e-13 4.889741e+03 4.527510e+06 9.580650e+05 -2.433833e-03 -5.026498e-02 -2.266179e-01 -1.117300e-01 2.975644e-02 8.486691e-01 4.229711e-03 2.700726e-07 9.096687e-07 -1.579041e-07
