# k, R1, R2
1.501717681114184003e-03 7.999812529997368804e-01 -1.982754452569118475e-01
1.515619886899893754e-03 8.215849427863780585e-01 -2.036042670535406496e-01
1.529650792858839366e-03 8.437600321644409540e-01 -2.090729651354048813e-01
1.543811590437531083e-03 8.665327996230498542e-01 -2.146879628502227633e-01
1.558103482112338251e-03 8.899070127053736456e-01 -2.204501016437696581e-01
1.572527681491603813e-03 9.139057245117645500e-01 -2.263649972532618682e-01
1.587085413418688621e-03 9.385427706344809939e-01 -2.324359772603573349e-01
1.601777914075985885e-03 9.638370876993102021e-01 -2.386676284222522260e-01
1.616606431089896451e-03 9.898003147288559900e-01 -2.450627255266590310e-01
1.631572223636762941e-03 1.016455214742396862e+00 -2.516267933077243057e-01
1.646676562549798323e-03 1.043818061324411683e+00 -2.583637443061409522e-01
1.661920730427005879e-03 1.071906892596613314e+00 -2.652779229521156079e-01
1.677306021740079941e-03 1.100740974961779139e+00 -2.723739721828877802e-01
1.692833742944334667e-03 1.130341333909475887e+00 -2.796569644796182974e-01
1.708505212589644376e-03 1.160723742454491392e+00 -2.871306670471127087e-01
1.724321761432408024e-03 1.191908907860952160e+00 -2.948000618590475574e-01
1.740284732548540419e-03 1.223924962743270450e+00 -3.026719611056182813e-01
1.756395481447540260e-03 1.256783451090779380e+00 -3.107490673463964015e-01
1.772655376187584706e-03 1.290512284335452842e+00 -3.190381245700479873e-01
1.789065797491687761e-03 1.325130289784299364e+00 -3.275436230915828029e-01
1.805628138864968446e-03 1.360662368635262354e+00 -3.362715478334576957e-01
1.822343806712967400e-03 1.397135305531753469e+00 -3.452283411198627250e-01
1.839214220461071964e-03 1.434569261255647099e+00 -3.544188004030677797e-01
1.856240812675051272e-03 1.472986556573767869e+00 -3.638482493534828111e-01
1.873425029182709594e-03 1.512418085421240121e+00 -3.735241206134287117e-01
1.890768329196648809e-03 1.552885591450250180e+00 -3.834515780553240383e-01
1.908272185438184259e-03 1.594420109010996400e+00 -3.936380704092362071e-01
1.925938084262407901e-03 1.637049722973302313e+00 -4.040903086240917874e-01
1.943767525784391827e-03 1.680794414189043851e+00 -4.148129931898435485e-01
1.961762024006578117e-03 1.725689001316151883e+00 -4.258144774180020464e-01
1.979923106947346564e-03 1.771758834457110687e+00 -4.371007668268636626e-01
1.998252316770756602e-03 1.819046445143857271e+00 -4.486820946054969061e-01
2.016751209917508076e-03 1.867566656852400531e+00 -4.605618473746290742e-01
2.035421357237112219e-03 1.917355338683504717e+00 -4.727485915765652358e-01
2.054264344121269764e-03 1.968454310777214777e+00 -4.852523482402495425e-01
2.073281770638503701e-03 2.020884430631147310e+00 -4.980779565417299826e-01
2.092475251670035397e-03 2.074685803842460707e+00 -5.112349886645758401e-01
2.111846417046900175e-03 2.129894975600475249e+00 -5.247321240721795066e-01
2.131396911688354830e-03 2.186540572374796376e+00 -5.385760776782296810e-01
2.151128395741557994e-03 2.244665967133866680e+00 -5.527771823918162797e-01
2.171042544722544612e-03 2.304310734043661935e+00 -5.673448190730288054e-01
2.191141049658486273e-03 2.365503088404774967e+00 -5.822855566080997747e-01
2.211425617231312438e-03 2.428285326255924303e+00 -5.976094142455202762e-01
2.231897969922620999e-03 2.492710694283641448e+00 -6.133290889053050199e-01
2.252559846159940624e-03 2.558794066894374719e+00 -6.294478165655206237e-01
2.273413000464355720e-03 2.626605838620503786e+00 -6.459824763446520013e-01
2.294459203599500102e-03 2.696168421574562934e+00 -6.629381231064903623e-01
2.315700242721908941e-03 2.767539558979774217e+00 -6.803284827116209410e-01
2.337137921532784091e-03 2.840749639768826107e+00 -6.981605344295337412e-01
2.358774060431163659e-03 2.915859500948137839e+00 -7.164487210816623541e-01
2.380610496668487605e-03 2.992909282016466666e+00 -7.352023764748497614e-01
2.402649084504618771e-03 3.071955908032902638e+00 -7.544349347504836212e-01
2.424891695365304599e-03 3.153035769642734909e+00 -7.741547641465862384e-01
2.447340218001076931e-03 3.236205293363068058e+00 -7.943751283075948244e-01
2.469996558647643246e-03 3.321523796232260128e+00 -8.151099752325716707e-01
2.492862641187766279e-03 3.409037379056500061e+00 -8.363699810538673951e-01
2.515940407314613391e-03 3.498808076038697479e+00 -8.581697057259198846e-01
2.539231816696648110e-03 3.590873603191229613e+00 -8.805177156565179297e-01
2.562738847144043017e-03 3.685309046817353718e+00 -9.034317138286195314e-01
2.586463494776612693e-03 3.782163608944922650e+00 -9.269230256290122982e-01
2.610407774193321782e-03 3.881505762805522952e+00 -9.510076678093406510e-01
2.634573718643364731e-03 3.983389227508356445e+00 -9.756980106359437466e-01
2.658963380198815438e-03 4.087879897069401913e+00 -1.001009371914154178e+00
2.683578829928863312e-03 4.195039741253819621e+00 -1.026956075611886510e+00
2.708422158075712936e-03 4.304936300338918720e+00 -1.053553771623009228e+00
2.733495474232060587e-03 4.417636022480235347e+00 -1.080817806443748141e+00
2.758800907520217449e-03 4.533203450310236526e+00 -1.108763021566987916e+00
2.784340606772938050e-03 4.651721790393394507e+00 -1.137408783147921154e+00
2.810116740715871107e-03 4.773251229961570807e+00 -1.166768786821222426e+00
2.836131498151715606e-03 4.897860608069899868e+00 -1.196858800912557808e+00
2.862387088146091645e-03 5.025645147368350329e+00 -1.227700999261256865e+00
2.888885740215131268e-03 5.156652625855128846e+00 -1.259305913932771803e+00
2.915629704514786230e-03 5.290994857582255406e+00 -1.291699675447719908e+00
2.942621252031906061e-03 5.428728714076493489e+00 -1.324894943086850851e+00
2.969862674777094640e-03 5.569940289372743436e+00 -1.358911464598727248e+00
2.997356285979315815e-03 5.714716552102417246e+00 -1.393769146513161195e+00
3.025104420282335223e-03 5.863149389212665596e+00 -1.429489038847901350e+00
3.053109433942977069e-03 6.015325092675160690e+00 -1.466090772004164489e+00
3.081373705031188910e-03 6.171328871478944933e+00 -1.503593651618469362e+00
3.109899633631986460e-03 6.331241934215080747e+00 -1.542015955103269942e+00
3.138689642049269715e-03 6.495174876737840108e+00 -1.581383051373969284e+00
3.167746175011494376e-03 6.663229648485240020e+00 -1.621718140144010167e+00
3.197071699879278778e-03 6.835490680987458489e+00 -1.663040086259941486e+00
