# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.6600e-04 3.3104e-06 -8.0591e-07 1.2537e-06 1.2523e-06 2.4513e-02 4.9017e-02
1.6754e-04 3.4339e-06 -8.3578e-07 1.3006e-06 1.2991e-06 2.4969e-02 4.9928e-02
1.6909e-04 3.5620e-06 -8.6674e-07 1.3492e-06 1.3476e-06 2.5434e-02 5.0857e-02
1.7065e-04 3.6948e-06 -8.9885e-07 1.3996e-06 1.3980e-06 2.5907e-02 5.1803e-02
1.7223e-04 3.8326e-06 -9.3215e-07 1.4520e-06 1.4502e-06 2.6389e-02 5.2766e-02
1.7383e-04 3.9755e-06 -9.6668e-07 1.5062e-06 1.5044e-06 2.6880e-02 5.3747e-02
1.7544e-04 4.1237e-06 -1.0025e-06 1.5625e-06 1.5606e-06 2.7379e-02 5.4747e-02
1.7706e-04 4.2775e-06 -1.0396e-06 1.6210e-06 1.6189e-06 2.7889e-02 5.5765e-02
1.7870e-04 4.4369e-06 -1.0781e-06 1.6815e-06 1.6794e-06 2.8407e-02 5.6802e-02
1.8035e-04 4.6023e-06 -1.1180e-06 1.7444e-06 1.7422e-06 2.8936e-02 5.7858e-02
1.8202e-04 4.7739e-06 -1.1594e-06 1.8096e-06 1.8072e-06 2.9474e-02 5.8934e-02
1.8371e-04 4.9518e-06 -1.2023e-06 1.8772e-06 1.8748e-06 3.0022e-02 6.0030e-02
1.8541e-04 5.1364e-06 -1.2468e-06 1.9474e-06 1.9448e-06 3.0581e-02 6.1146e-02
1.8713e-04 5.3278e-06 -1.2929e-06 2.0201e-06 2.0174e-06 3.1149e-02 6.2283e-02
1.8886e-04 5.5263e-06 -1.3408e-06 2.0956e-06 2.0928e-06 3.1729e-02 6.3441e-02
1.9061e-04 5.7323e-06 -1.3904e-06 2.1739e-06 2.1710e-06 3.2319e-02 6.4621e-02
1.9237e-04 5.9459e-06 -1.4418e-06 2.2551e-06 2.2520e-06 3.2920e-02 6.5822e-02
1.9415e-04 6.1674e-06 -1.4951e-06 2.3394e-06 2.3362e-06 3.3532e-02 6.7046e-02
1.9595e-04 6.3972e-06 -1.5504e-06 2.4268e-06 2.4234e-06 3.4156e-02 6.8293e-02
1.9776e-04 6.6355e-06 -1.6077e-06 2.5175e-06 2.5139e-06 3.4791e-02 6.9563e-02
1.9960e-04 6.8827e-06 -1.6671e-06 2.6115e-06 2.6078e-06 3.5438e-02 7.0856e-02
2.0144e-04 7.1390e-06 -1.7288e-06 2.7091e-06 2.7052e-06 3.6098e-02 7.2174e-02
2.0331e-04 7.4050e-06 -1.7926e-06 2.8103e-06 2.8062e-06 3.6769e-02 7.3516e-02
2.0519e-04 7.6807e-06 -1.8589e-06 2.9152e-06 2.9109e-06 3.7453e-02 7.4883e-02
2.0709e-04 7.9668e-06 -1.9276e-06 3.0241e-06 3.0196e-06 3.8150e-02 7.6275e-02
2.0901e-04 8.2634e-06 -1.9988e-06 3.1371e-06 3.1323e-06 3.8859e-02 7.7693e-02
2.1094e-04 8.5711e-06 -2.0726e-06 3.2542e-06 3.2493e-06 3.9582e-02 7.9138e-02
2.1289e-04 8.8903e-06 -2.1492e-06 3.3758e-06 3.3706e-06 4.0318e-02 8.0609e-02
2.1487e-04 9.2213e-06 -2.2285e-06 3.5019e-06 3.4964e-06 4.1068e-02 8.2108e-02
2.1685e-04 9.5646e-06 -2.3108e-06 3.6326e-06 3.6269e-06 4.1832e-02 8.3635e-02
2.1886e-04 9.9206e-06 -2.3961e-06 3.7683e-06 3.7623e-06 4.2610e-02 8.5190e-02
2.2089e-04 1.0290e-05 -2.4845e-06 3.9090e-06 3.9027e-06 4.3402e-02 8.6774e-02
2.2293e-04 1.0673e-05 -2.5762e-06 4.0549e-06 4.0483e-06 4.4210e-02 8.8387e-02
2.2500e-04 1.1070e-05 -2.6713e-06 4.2063e-06 4.1994e-06 4.5032e-02 9.0031e-02
2.2708e-04 1.1482e-05 -2.7698e-06 4.3634e-06 4.3561e-06 4.5869e-02 9.1704e-02
2.2918e-04 1.1909e-05 -2.8720e-06 4.5263e-06 4.5186e-06 4.6723e-02 9.3409e-02
2.3130e-04 1.2352e-05 -2.9779e-06 4.6953e-06 4.6872e-06 4.7592e-02 9.5146e-02
2.3344e-04 1.2812e-05 -3.0877e-06 4.8705e-06 4.8621e-06 4.8477e-02 9.6915e-02
2.3561e-04 1.3289e-05 -3.2016e-06 5.0523e-06 5.0435e-06 4.9378e-02 9.8717e-02
2.3779e-04 1.3783e-05 -3.3196e-06 5.2409e-06 5.2317e-06 5.0297e-02 1.0055e-01
2.3999e-04 1.4296e-05 -3.4420e-06 5.4365e-06 5.4268e-06 5.1232e-02 1.0242e-01
2.4221e-04 1.4827e-05 -3.5688e-06 5.6394e-06 5.6292e-06 5.2185e-02 1.0433e-01
2.4445e-04 1.5379e-05 -3.7003e-06 5.8499e-06 5.8392e-06 5.3156e-02 1.0627e-01
2.4672e-04 1.5951e-05 -3.8366e-06 6.0682e-06 6.0570e-06 5.4144e-02 1.0824e-01
2.4900e-04 1.6544e-05 -3.9779e-06 6.2946e-06 6.2829e-06 5.5151e-02 1.1025e-01
