# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 1.0624e+03 6.0929e-03 -3.2131e-03 2.1252e+03 7.7991e+02 -3.8764e-03 1.3106e+02 2.7258e-02 2.3717e-02 1.8073e-02 3.4938e+02 2.3286e+02 0.0000e+00 0.0000e+00
1.0411e-03 1.1024e+03 6.9066e-03 -3.6150e-03 2.2058e+03 8.3371e+02 -4.1932e-03 1.3106e+02 2.9546e-02 2.5704e-02 1.9572e-02 3.4937e+02 2.3284e+02 0.0000e+00 0.0000e+00
1.0838e-03 1.1437e+03 7.8240e-03 -4.0667e-03 2.2892e+03 8.8880e+02 -4.5352e-03 1.3106e+02 3.2026e-02 2.7857e-02 2.1194e-02 3.4936e+02 2.3283e+02 0.0000e+00 0.0000e+00
1.1283e-03 1.1866e+03 8.8580e-03 -4.5741e-03 2.3756e+03 9.4520e+02 -4.9043e-03 1.3106e+02 3.4715e-02 3.0189e-02 2.2950e-02 3.4935e+02 2.3281e+02 0.0000e+00 0.0000e+00
1.1746e-03 1.2309e+03 1.0023e-02 -5.1440e-03 2.4649e+03 1.0029e+03 -5.3024e-03 1.3106e+02 3.7629e-02 3.2717e-02 2.4849e-02 3.4934e+02 2.3280e+02 0.0000e+00 0.0000e+00
1.2228e-03 1.2769e+03 1.1335e-02 -5.7841e-03 2.5574e+03 1.0620e+03 -5.7318e-03 1.3106e+02 4.0789e-02 3.5454e-02 2.6904e-02 3.4932e+02 2.3278e+02 0.0000e+00 0.0000e+00
1.2730e-03 1.3244e+03 1.2812e-02 -6.5027e-03 2.6530e+03 1.1225e+03 -6.1946e-03 1.3106e+02 4.4215e-02 3.8420e-02 2.9126e-02 3.4931e+02 2.3276e+02 0.0000e+00 0.0000e+00
1.3253e-03 1.3736e+03 1.4474e-02 -7.3093e-03 2.7519e+03 1.1844e+03 -6.6933e-03 1.3106e+02 4.7929e-02 4.1633e-02 3.1529e-02 3.4929e+02 2.3274e+02 0.0000e+00 0.0000e+00
1.3797e-03 1.4245e+03 1.6344e-02 -8.2145e-03 2.8541e+03 1.2477e+03 -7.2304e-03 1.3106e+02 5.1955e-02 4.5113e-02 3.4127e-02 3.4927e+02 2.3272e+02 0.0000e+00 0.0000e+00
1.4363e-03 1.4772e+03 1.8446e-02 -9.2301e-03 2.9598e+03 1.3125e+03 -7.8085e-03 1.3106e+02 5.6321e-02 4.8882e-02 3.6936e-02 3.4926e+02 2.3269e+02 0.0000e+00 0.0000e+00
